,No.,Player Name,Position,Player_ID,Year,Country_Name
0,1.0,Sanchez Matias,S,142412,2021,Argentina
1,2.0,Pereyra Federico,O,117445,2021,Argentina
2,3.0,Martinez Franchi Jan,U,142410,2021,Argentina
3,5.0,Uriarte Nicolas,S,119846,2021,Argentina
4,6.0,Poglajen Cristian,OH,119853,2021,Argentina
5,7.0,Conte Facundo,OH,118886,2021,Argentina
6,8.0,Loser Agustin,MB,152692,2021,Argentina
7,9.0,Danani Santiago,L,153053,2021,Argentina
8,10.0,Lazo Nicolás,OH,136737,2021,Argentina
9,11.0,Solé Sebastian,MB,133730,2021,Argentina
10,12.0,Lima Bruno,O,142415,2021,Argentina
11,13.0,Palacios Ezequiel,OH,125048,2021,Argentina
12,14.0,Crer Pablo,MB,119851,2021,Argentina
13,15.0,De Cecco Luciano,S,117457,2021,Argentina
14,16.0,Palonsky Luciano,OH,162546,2021,Argentina
15,17.0,Mendez Nicolas,OH,125049,2021,Argentina
16,18.0,Ramos Martin,MB,125047,2021,Argentina
17,19.0,Massimino Franco,L,135349,2021,Argentina
18,,Marcelo MENDEZ,COACH,N/A,2021,Argentina
19,1.0,Graham Beau,MB,144457,2021,Australia
20,2.0,Dosanjh Arshdeep,S,144456,2021,Australia
21,3.0,Macdonald Steven,MB,162262,2021,Australia
22,7.0,Weir James,MB,162077,2021,Australia
23,8.0,O'Dea Trent,MB,144464,2021,Australia
24,11.0,Perry Luke,L,144578,2021,Australia
25,12.0,Mote Nehemiah,MB,144461,2021,Australia
26,15.0,Smith Luke,OH,120515,2021,Australia
27,16.0,Douglas-Powell Thomas Ewen,OH,132961,2021,Australia
28,21.0,Butler Nicholas,S,158841,2021,Australia
29,27.0,Senica Max,OH,162870,2021,Australia
30,28.0,Taylor Tim,OH,162267,2021,Australia
31,29.0,Garrett Ethan,OH,169335,2021,Australia
32,31.0,Aubrey Matthew,O,162265,2021,Australia
33,32.0,Azeez Oluwatobi Elliot,OH,181257,2021,Australia
34,33.0,Flowerday Sam,OH,178207,2021,Australia
35,34.0,Greber Billy,L,181247,2021,Australia
36,,Marcos Miranda,COACH,N/A,2021,Australia
37,1.0,Rezende Bruno Mossa,S,116099,2021,Brazil
38,3.0,De Barros Ferreira João Rafael,OH,136955,2021,Brazil
39,5.0,Borges Almeida Silva Mauricio,OH,132030,2021,Brazil
40,6.0,Gil Kreling Fernando,S,142744,2021,Brazil
41,8.0,De Souza Wallace,O,112869,2021,Brazil
42,9.0,Leal Hidalgo Yoandy,OH,118928,2021,Brazil
43,11.0,Kavalkievicz Gabriel,OH,151789,2021,Brazil
44,12.0,Santos Isac,MB,119872,2021,Brazil
45,13.0,De Souza Mauricio Luiz,MB,136734,2021,Brazil
46,14.0,Correia De Souza Douglas,OH,142741,2021,Brazil
47,15.0,Nascimento Maique Reis,L,161939,2021,Brazil
48,16.0,Saatkamp Lucas,MB,116081,2021,Brazil
49,17.0,Hoss Thales,L,118916,2021,Brazil
50,18.0,Souza Ricardo Lucarelli,OH,136468,2021,Brazil
51,21.0,Souza Alan,O,136947,2021,Brazil
52,23.0,Resende Gualberto Flavio,MB,136956,2021,Brazil
53,,CARLOS SCHWANKE,COACH,N/A,2021,Brazil
54,1.0,Karyagin Denis,OH,174445,2021,Bulgaria
55,2.0,Chavdarov Stefan,MB,180588,2021,Bulgaria
