,Player_ID,Year,TeamA,TeamB,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Match_Date,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
0,142412,2021,Iran,Argentina,0,0,0,0,23/06/2021,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,142412,2021,France,Argentina,0,0,1,1,22/06/2021,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,142412,2021,Argentina,Serbia,1,1,11,13,17/06/2021,25,0,22,47,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6
3,142412,2021,Argentina,Bulgaria,0,0,0,0,15/06/2021,2,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,142412,2021,Japan,Argentina,0,0,1,1,11/06/2021,7,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,142412,2021,Argentina,Australia,1,1,12,14,10/06/2021,34,0,39,73,2,0,0,2,0,1,0,1,0,0,0,0,3,4,0,7
6,142412,2021,Netherlands,Argentina,0,0,0,0,05/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,117445,2021,Iran,Argentina,0,0,0,0,23/06/2021,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
8,117445,2021,France,Argentina,0,0,2,2,22/06/2021,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
9,117445,2021,Poland,Argentina,0,2,6,8,21/06/2021,0,0,1,1,10,3,3,16,0,1,0,1,0,0,0,0,2,1,2,5
10,117445,2021,Argentina,Serbia,0,1,1,2,17/06/2021,0,0,0,0,6,1,2,9,0,0,1,1,0,0,0,0,0,0,0,0
11,117445,2021,Argentina,Russia,1,2,3,6,16/06/2021,0,0,1,1,15,6,5,26,0,3,1,4,0,0,1,1,0,2,0,2
12,117445,2021,Argentina,Bulgaria,0,0,1,1,15/06/2021,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,0,3
13,117445,2021,Japan,Argentina,2,4,10,16,11/06/2021,0,0,2,2,18,6,12,36,2,3,6,11,0,0,0,0,5,0,0,5
14,117445,2021,Argentina,Australia,3,4,7,14,10/06/2021,0,0,1,1,12,4,5,21,0,3,0,3,0,0,0,0,2,1,0,3
15,117445,2021,Argentina,Italy,0,0,0,0,09/06/2021,0,0,0,0,1,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0
16,117445,2021,Netherlands,Argentina,1,3,7,11,05/06/2021,0,0,2,2,8,6,9,23,6,2,2,10,0,0,0,0,2,5,0,7
17,117445,2021,Argentina,Slovenia,0,3,3,6,04/06/2021,0,0,2,2,4,7,9,20,0,1,1,2,0,0,0,0,1,0,2,3
18,117445,2021,Germany,Argentina,1,5,12,18,03/06/2021,0,0,0,0,20,4,9,33,1,2,1,4,0,0,0,0,6,1,0,7
19,117445,2021,USA,Argentina,0,3,8,11,30/05/2021,0,0,4,4,7,8,7,22,1,0,0,1,0,0,0,0,1,0,0,1
20,117445,2021,Argentina,Canada,1,1,5,7,29/05/2021,0,0,0,0,4,7,2,13,0,3,0,3,0,0,0,0,1,1,0,2
21,117445,2021,Brazil,Argentina,1,4,5,10,28/05/2021,0,1,0,1,14,4,7,25,1,2,1,4,0,0,0,0,3,1,0,4
22,142410,2021,Iran,Argentina,0,0,0,0,23/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,142410,2021,France,Argentina,0,0,0,0,22/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,142410,2021,Poland,Argentina,0,0,0,0,21/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,142410,2021,Japan,Argentina,0,0,0,0,11/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,142410,2021,Argentina,Australia,0,2,13,15,10/06/2021,0,0,1,1,8,2,7,17,1,3,2,6,9,0,9,18,5,0,0,5
27,142410,2021,Argentina,Italy,0,0,5,5,09/06/2021,0,0,0,0,5,3,8,16,0,0,0,0,5,2,6,13,2,0,0,2
28,142410,2021,Netherlands,Argentina,0,0,0,0,05/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,142410,2021,Argentina,Slovenia,0,3,7,10,04/06/2021,0,0,4,4,7,1,9,17,0,1,0,1,5,0,14,19,9,1,0,10
30,142410,2021,Germany,Argentina,0,3,14,17,03/06/2021,0,0,0,0,18,2,12,32,1,4,0,5,6,1,16,23,10,0,0,10
31,142410,2021,USA,Argentina,0,1,12,13,30/05/2021,0,0,5,5,9,4,13,26,0,3,0,3,4,0,14,18,4,1,0,5
32,142410,2021,Argentina,Canada,0,0,0,0,29/05/2021,0,0,1,1,0,0,0,0,0,0,0,0,6,1,8,15,4,3,0,7
33,142410,2021,Brazil,Argentina,0,2,8,10,28/05/2021,0,0,0,0,4,1,8,13,0,0,0,0,4,0,8,12,4,1,0,5
34,119846,2021,Poland,Argentina,0,1,4,5,21/06/2021,16,0,26,42,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,2
35,119846,2021,Argentina,Russia,0,0,7,7,16/06/2021,14,0,35,49,2,0,1,3,0,0,1,1,0,0,0,0,6,1,1,8
36,119846,2021,Japan,Argentina,0,1,0,1,11/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,119846,2021,Argentina,Australia,0,0,0,0,10/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,119846,2021,Argentina,Italy,0,2,3,5,09/06/2021,16,0,38,54,0,0,3,3,0,0,1,1,0,0,1,1,0,1,0,1
39,119846,2021,Argentina,Slovenia,0,0,4,4,04/06/2021,15,0,24,39,0,0,1,1,2,0,3,5,0,0,0,0,2,0,1,3
40,119846,2021,Germany,Argentina,0,0,3,3,03/06/2021,2,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
41,119846,2021,USA,Argentina,0,0,2,2,30/05/2021,6,0,8,14,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,2
42,119846,2021,Argentina,Canada,0,1,4,5,29/05/2021,9,0,22,31,1,0,1,2,1,3,1,5,0,0,0,0,0,0,0,0
43,119846,2021,Brazil,Argentina,0,0,1,1,28/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,119853,2021,Iran,Argentina,0,4,17,21,23/06/2021,0,0,1,1,10,5,14,29,2,3,3,8,3,1,16,20,8,0,1,9
45,119853,2021,France,Argentina,0,2,3,5,22/06/2021,0,0,2,2,1,1,4,6,0,0,0,0,2,2,12,16,4,1,0,5
46,119853,2021,Poland,Argentina,0,3,7,10,21/06/2021,0,0,1,1,7,0,8,15,0,0,3,3,3,3,7,13,3,3,1,7
47,119853,2021,Argentina,Serbia,0,0,0,0,17/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,119853,2021,Argentina,Russia,0,3,8,11,16/06/2021,0,0,3,3,5,4,6,15,0,3,2,5,3,3,16,22,6,0,0,6
49,119853,2021,Argentina,Bulgaria,0,0,0,0,15/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,119853,2021,Japan,Argentina,1,0,12,13,11/06/2021,0,0,8,8,12,2,11,25,1,2,5,8,11,1,11,23,10,1,1,12
51,119853,2021,Argentina,Australia,0,0,0,0,10/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,119853,2021,Netherlands,Argentina,0,2,12,14,05/06/2021,0,0,1,1,6,1,2,9,0,3,0,3,5,2,7,14,3,1,0,4
53,119853,2021,Argentina,Slovenia,0,0,5,5,04/06/2021,0,0,0,0,4,2,6,12,0,2,3,5,1,1,9,11,5,2,0,7
54,119853,2021,Germany,Argentina,0,0,0,0,03/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,118886,2021,Iran,Argentina,0,4,10,14,23/06/2021,0,0,2,2,9,5,4,18,2,2,2,6,8,2,24,34,8,2,0,10
56,118886,2021,France,Argentina,0,2,6,8,22/06/2021,0,0,1,1,4,2,4,10,3,2,0,5,4,0,12,16,2,1,2,5
57,118886,2021,Poland,Argentina,0,3,8,11,21/06/2021,0,0,0,0,4,2,10,16,0,3,1,4,7,2,16,25,8,2,0,10
58,118886,2021,Argentina,Serbia,0,2,8,10,17/06/2021,0,0,3,3,12,2,6,20,2,3,2,7,5,1,13,19,3,2,1,6
59,118886,2021,Argentina,Russia,0,4,10,14,16/06/2021,0,0,10,10,7,6,10,23,0,2,1,3,4,0,22,26,7,1,2,10
60,118886,2021,Argentina,Bulgaria,0,5,10,15,15/06/2021,0,0,3,3,12,1,8,21,0,3,3,6,3,2,10,15,9,3,0,12
61,118886,2021,Japan,Argentina,0,2,15,17,11/06/2021,0,0,4,4,9,6,17,32,3,4,0,7,7,0,17,24,8,7,1,16
62,118886,2021,Argentina,Australia,0,0,0,0,10/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,118886,2021,Argentina,Italy,0,0,4,4,09/06/2021,0,0,1,1,0,4,6,10,1,0,0,1,3,2,7,12,2,1,0,3
64,118886,2021,Netherlands,Argentina,0,2,8,10,05/06/2021,0,0,1,1,12,1,12,25,2,2,1,5,9,1,13,23,5,1,0,6
65,118886,2021,Argentina,Slovenia,0,0,0,0,04/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,118886,2021,Germany,Argentina,0,0,0,0,03/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,118886,2021,USA,Argentina,1,4,9,14,30/05/2021,0,0,6,6,7,4,11,22,1,2,1,4,7,2,13,22,6,3,0,9
68,118886,2021,Argentina,Canada,0,4,7,11,29/05/2021,0,1,0,1,7,3,8,18,1,2,0,3,3,2,12,17,6,1,0,7
69,118886,2021,Brazil,Argentina,1,3,9,13,28/05/2021,0,0,0,0,9,7,4,20,3,2,0,5,7,6,15,28,4,1,0,5
70,152692,2021,Iran,Argentina,0,4,15,19,23/06/2021,0,0,0,0,10,1,2,13,2,3,3,8,0,1,2,3,1,2,1,4
71,152692,2021,France,Argentina,0,2,6,8,22/06/2021,0,0,1,1,8,1,3,12,0,6,3,9,0,0,0,0,3,0,0,3
72,152692,2021,Poland,Argentina,1,5,5,11,21/06/2021,0,0,2,2,4,0,4,8,0,7,7,14,0,0,0,0,0,0,1,1
73,152692,2021,Argentina,Serbia,1,2,14,17,17/06/2021,0,0,0,0,8,1,5,14,3,3,2,8,0,0,1,1,3,2,0,5
74,152692,2021,Argentina,Russia,1,2,12,15,16/06/2021,0,0,0,0,7,1,5,13,2,3,3,8,0,0,0,0,4,1,1,6
75,152692,2021,Argentina,Bulgaria,2,5,10,17,15/06/2021,0,0,0,0,7,0,0,7,1,5,5,11,0,0,2,2,2,1,0,3
76,152692,2021,Japan,Argentina,2,2,14,18,11/06/2021,0,0,2,2,9,0,3,12,1,5,2,8,0,0,3,3,2,0,1,3
77,152692,2021,Argentina,Australia,0,3,8,11,10/06/2021,0,0,2,2,13,1,5,19,1,3,1,5,0,0,0,0,5,0,0,5
78,152692,2021,Argentina,Italy,1,3,5,9,09/06/2021,0,0,0,0,3,0,1,4,4,0,2,6,0,1,2,3,0,1,0,1
79,152692,2021,Netherlands,Argentina,1,2,9,12,05/06/2021,0,0,0,0,8,1,1,10,1,3,2,6,1,0,0,1,0,1,0,1
80,152692,2021,Argentina,Slovenia,0,0,0,0,04/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,152692,2021,Germany,Argentina,0,5,11,16,03/06/2021,0,0,1,1,9,2,3,14,1,8,3,12,1,0,0,1,4,0,0,4
