No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
1.0,Sanchez Matias,S,142412,2021,Argentina,Argentina,25.0,175,4,0.57,2,100%,0.29,0,0.00%,0.00,2,6.90%,0.29
2.0,Pereyra Federico,O,117445,2021,Argentina,Argentina,33.0,200,147,9.80,125,49.21%,8.33,12,26.09%,0.80,10,8.93%,0.67
3.0,Martinez Franchi Jan,U,142410,2021,Argentina,Argentina,24.0,190,53,4.42,51,42.15%,4.25,2,13.33%,0.17,0,0.00%,0.00
5.0,Uriarte Nicolas,S,119846,2021,Argentina,Argentina,32.0,192,8,0.80,3,33.33%,0.30,5,31.25%,0.50,0,0.00%,0.00
6.0,Poglajen Cristian,OH,119853,2021,Argentina,Argentina,32.0,195,49,4.45,45,40.54%,4.09,3,9.38%,0.27,1,1.27%,0.09
7.0,Conte Facundo,OH,118886,2021,Argentina,Argentina,32.0,197,112,7.47,92,39.15%,6.13,18,32.14%,1.20,2,1.42%,0.13
8.0,Loser Agustin,MB,152692,2021,Argentina,Argentina,24.0,198,111,9.25,86,68.25%,7.17,16,16.84%,1.33,9,5.88%,0.75
9.0,Danani Santiago,L,153053,2021,Argentina,Argentina,26.0,176,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Lazo Nicolás,OH,136737,2021,Argentina,Argentina,26.0,192,12,2.40,9,32.14%,1.80,3,60.00%,0.60,0,0.00%,0.00
11.0,Solé Sebastian,MB,133730,2021,Argentina,Italy,30.0,200,75,6.82,59,56.73%,5.36,15,16.30%,1.36,1,0.80%,0.09
12.0,Lima Bruno,O,142415,2021,Argentina,Argentina,26.0,198,81,11.57,76,54.29%,10.86,2,5.71%,0.29,3,4.41%,0.43
13.0,Palacios Ezequiel,OH,125048,2021,Argentina,Argentina,29.0,198,21,1.91,16,40.00%,1.45,2,25.00%,0.18,3,10.00%,0.27
14.0,Crer Pablo,MB,119851,2021,Argentina,Argentina,32.0,202,8,2.67,6,66.67%,2.00,2,33.33%,0.67,0,0.00%,0.00
15.0,De Cecco Luciano,S,117457,2021,Argentina,Argentina,33.0,191,18,1.20,8,34.78%,0.53,6,17.65%,0.40,4,2.74%,0.27
16.0,Palonsky Luciano,OH,162546,2021,Argentina,Argentina,22.0,198,15,1.25,14,36.84%,1.17,1,33.33%,0.08,0,0.00%,0.00
17.0,Mendez Nicolas,OH,125049,2021,Argentina,Argentina,29.0,191,45,3.00,38,41.30%,2.53,7,36.84%,0.47,0,0.00%,0.00
18.0,Ramos Martin,MB,125047,2021,Argentina,Argentina,30.0,197,72,4.80,50,60.24%,3.33,18,23.38%,1.20,4,3.64%,0.27
19.0,Massimino Franco,L,135349,2021,Argentina,Argentina,33.0,177,0,0.00,0,-,-,0,-,-,0,-,-
,Marcelo MENDEZ,COACH,N/A,2021,Argentina,,,,,,,,,,,,,,
1.0,Graham Beau,MB,144457,2021,Australia,Australia,27.0,203,101,6.73,96,38.40%,6.40,2,4.35%,0.13,3,2.11%,0.20
2.0,Dosanjh Arshdeep,S,144456,2021,Australia,Australia,25.0,205,46,3.07,25,38.46%,1.67,13,23.21%,0.87,8,5.06%,0.53
3.0,Macdonald Steven,MB,162262,2021,Australia,Australia,24.0,207,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
7.0,Weir James,MB,162077,2021,Australia,Australia,26.0,204,26,1.73,18,40.91%,1.20,4,17.39%,0.27,4,6.35%,0.27
8.0,O'Dea Trent,MB,144464,2021,Australia,Australia,27.0,201,75,5.00,59,47.58%,3.93,14,16.67%,0.93,2,1.54%,0.13
11.0,Perry Luke,L,144578,2021,Australia,Australia,26.0,180,0,0.00,0,-,-,0,-,-,0,-,-
12.0,Mote Nehemiah,MB,144461,2021,Australia,Australia,28.0,203,94,6.71,74,52.11%,5.29,18,18.37%,1.29,2,1.42%,0.14
15.0,Smith Luke,OH,120515,2021,Australia,Australia,31.0,204,132,11.00,115,43.40%,9.58,13,25.00%,1.08,4,2.90%,0.33
16.0,Douglas-Powell Thomas Ewen,OH,132961,2021,Australia,Australia,29.0,194,1,1.00,1,100%,1.00,0,-,-,0,0.00%,0.00
21.0,Butler Nicholas,S,158841,2021,Australia,Australia,24.0,198,2,0.13,1,100%,0.07,1,50.00%,0.07,0,0.00%,0.00
27.0,Senica Max,OH,162870,2021,Australia,Australia,22.0,191,39,2.60,30,34.09%,2.00,5,27.78%,0.33,4,5.80%,0.27
28.0,Taylor Tim,OH,162267,2021,Australia,Australia,27.0,195,25,1.67,22,36.67%,1.47,3,33.33%,0.20,0,0.00%,0.00
29.0,Garrett Ethan,OH,169335,2021,Australia,Australia,21.0,196,36,3.00,33,25.19%,2.75,2,5.88%,0.17,1,1.47%,0.08
31.0,Aubrey Matthew,O,162265,2021,Australia,Australia,24.0,209,6,0.40,6,37.50%,0.40,0,0.00%,0.00,0,0.00%,0.00
