No.,Player Name,Position,Player_ID,Year,Country_ID,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
1.0,Sanchez Matias,S,142412,2021,5818,Argentina,25.0,175cm,4,0.57,2,100%,0.29,0,0.00%,0.00,2,6.90%,0.29
3.0,Martinez Franchi Jan,U,142410,2021,5818,Argentina,24.0,190cm,53,4.42,51,42.15%,4.25,2,13.33%,0.17,0,0.00%,0.00
4.0,Gallego Joaquin,MB,142411,2021,5818,Argentina,25.0,204cm,-,-,-,-,-,-,-,-,-,-,-
7.0,Palonsky Luciano,OH,162546,2021,5818,Argentina,22.0,198cm,15,1.25,14,36.84%,1.17,1,33.33%,0.08,0,0.00%,0.00
8.0,Loser Agustin,MB,152692,2021,5818,Argentina,24.0,198cm,111,9.25,86,68.25%,7.17,16,16.84%,1.33,9,5.88%,0.75
9.0,Danani Santiago,L,153053,2021,5818,Argentina,26.0,176cm,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Zelayeta Mauro,OH,160816,2021,5818,Argentina,22.0,190cm,-,-,-,-,-,-,-,-,-,-,-
11.0,Armoa Manuel,OH,174853,2021,5818,Argentina,19.0,195cm,-,-,-,-,-,-,-,-,-,-,-
12.0,Lima Bruno,O,142415,2021,5818,Argentina,26.0,198cm,81,11.57,76,54.29%,10.86,2,5.71%,0.29,3,4.41%,0.43
15.0,De Cecco Luciano,S,117457,2021,5818,Argentina,33.0,191cm,18,1.20,8,34.78%,0.53,6,17.65%,0.40,4,2.74%,0.27
16.0,Koukartsev Pablo Sergio,O,141282,2021,5818,Argentina,28.0,203cm,-,-,-,-,-,-,-,-,-,-,-
17.0,Vicentin Luciano,OH,163555,2021,5818,Argentina,21.0,197cm,-,-,-,-,-,-,-,-,-,-,-
18.0,Ramos Martin,MB,125047,2021,5818,Argentina,30.0,197cm,72,4.80,50,60.24%,3.33,18,23.38%,1.20,4,3.64%,0.27
22.0,Zerba Nicolas,MB,162543,2021,5818,Argentina,22.0,203cm,-,-,-,-,-,-,-,-,-,-,-
,Marcelo Rodolfo Mendez,COACH,N/A,2021,5818,,,,,,,,,,,,,,
1.0,Rezende Bruno Mossa,S,116099,2021,5819,Brazil,35.0,190cm,21,1.24,9,64.29%,0.53,7,11.67%,0.41,5,3.38%,0.29
4.0,Rodrigues Pinto Otávio Henrique,MB,125010,2021,5819,Brazil,31.0,200cm,-,-,-,-,-,-,-,-,-,-,-
6.0,Fernandes P.X.Cavalcante Adriano,OH,174908,2021,5819,Brazil,20.0,201cm,-,-,-,-,-,-,-,-,-,-,-
8.0,Honorato Henrique Dantas Nóbrega,OH,161930,2021,5819,Brazil,25.0,190cm,-,-,-,-,-,-,-,-,-,-,-
9.0,Leal Hidalgo Yoandy,OH,118928,2021,5819,Brazil,33.0,202cm,162,10.80,139,51.10%,9.27,11,22.00%,0.73,12,8.11%,0.80
14.0,Gil Kreling Fernando,S,142744,2021,5819,Brazil,26.0,186cm,8,0.47,3,50.00%,0.18,2,11.76%,0.12,3,5.00%,0.18
15.0,Nascimento Maique Reis,L,161939,2021,5819,Brazil,24.0,187cm,0,0.00,0,-,-,0,-,-,0,-,-
16.0,Saatkamp Lucas,MB,116081,2021,5819,Brazil,36.0,209cm,24,4.80,19,46.34%,3.80,3,10.00%,0.60,2,3.85%,0.40
17.0,Hoss Thales,L,118916,2021,5819,Brazil,32.0,190cm,0,0.00,0,-,-,0,-,-,0,-,-
18.0,Souza Ricardo Lucarelli,OH,136468,2021,5819,Brazil,30.0,196cm,160,10.67,131,52.82%,8.73,12,21.05%,0.80,17,9.55%,1.13
19.0,Moreira Roque Felipe,O,161921,2021,5819,Brazil,24.0,212cm,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
21.0,Souza Alan,O,136947,2021,5819,Brazil,28.0,202cm,96,6.00,85,55.92%,5.31,8,21.05%,0.50,3,3.90%,0.19
23.0,Resende Gualberto Flavio,MB,136956,2021,5819,Brazil,28.0,199cm,59,3.47,45,49.45%,2.65,10,12.35%,0.59,4,2.99%,0.24
30.0,Nunes da Cunha Jr Judson Amabel,MB,187493,2021,5819,Brazil,23.0,204cm,-,-,-,-,-,-,-,-,-,-,-
,Renan Dal Zotto,COACH,N/A,2021,5819,,,,,,,,,,,,,,
3.0,Kolev Nikolay,MB,173067,2021,5820,Bulgaria,24.0,204cm,59,3.93,47,58.02%,3.13,10,12.05%,0.67,2,2.00%,0.13
4.0,Atanasov Martin,OH,156676,2021,5820,Bulgaria,25.0,197cm,64,4.27,45,35.16%,3.00,6,28.57%,0.40,13,15.85%,0.87
5.0,Gotsev Svetoslav,MB,132035,2021,5820,Bulgaria,31.0,205cm,-,-,-,-,-,-,-,-,-,-,-
8.0,Asparuhov Asparuh,OH,168269,2021,5820,Bulgaria,21.0,201cm,125,8.33,106,47.53%,7.07,8,14.81%,0.53,11,8.53%,0.73
9.0,Seganov Georgi,S,137012,2021,5820,Bulgaria,28.0,197cm,29,1.93,11,61.11%,0.73,10,23.26%,0.67,8,5.88%,0.53
10.0,Karyagin Denis,OH,174445,2021,5820,Bulgaria,19.0,206cm,63,4.20,57,40.14%,3.80,2,10.00%,0.13,4,5.56%,0.27
11.0,Grozdanov Aleks,MB,152619,2021,5820,Bulgaria,23.0,208cm,23,7.67,11,47.83%,3.67,7,20.59%,2.33,5,13.89%,1.67
12.0,Dimitrov Dimitar,O,180587,2021,5820,Bulgaria,21.0,208cm,-,-,-,-,-,-,-,-,-,-,-
13.0,Salparov Teodor,L,113691,2021,5820,Bulgaria,39.0,187cm,-,-,-,-,-,-,-,-,-,-,-
14.0,Bozhilov Martin,L,135372,2021,5820,Bulgaria,33.0,190cm,-,-,-,-,-,-,-,-,-,-,-
15.0,Raev Delcho,S,124986,2021,5820,Bulgaria,31.0,185cm,-,-,-,-,-,-,-,-,-,-,-
17.0,Penchev Nikolay,OH,132033,2021,5820,Bulgaria,29.0,197cm,-,-,-,-,-,-,-,-,-,-,-
20.0,Bratoev Valentin,OH,118486,2021,5820,Bulgaria,34.0,203cm,-,-,-,-,-,-,-,-,-,-,-
24.0,Petkov Iliya,MB,168268,2021,5820,Bulgaria,25.0,200cm,-,-,-,-,-,-,-,-,-,-,-
,Plamen Konstantinov,COACH,N/A,2021,5820,,,,,,,,,,,,,,
1.0,Eshenko Pearson,MB,157324,2021,5821,Canada,24.0,204cm,-,-,-,-,-,-,-,-,-,-,-
2.0,Herr Luke,S,165212,2021,5821,Canada,27.0,192cm,-,-,-,-,-,-,-,-,-,-,-
4.0,Hoag Nicholas,OH,136291,2021,5821,Canada,29.0,200cm,121,8.07,95,42.99%,6.33,9,21.43%,0.60,17,11.56%,1.13
5.0,Hofer Brodie,OH,168914,2021,5821,Canada,21.0,200cm,-,-,-,-,-,-,-,-,-,-,-
6.0,Demyanenko Danny,MB,140042,2021,5821,Canada,27.0,196cm,1,0.12,1,33.33%,0.12,0,0.00%,0.00,0,0.00%,0.00
