No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
2.0,Van Sas Elise,S,160209,2021,Belgium,Belgium,24.0,188,4,0.33,0,0.00%,0.00,3,60.00%,0.25,1,7.69%,0.08
3.0,Herbots Britt,OH,152042,2021,Belgium,Belgium,22.0,182,337,24.07,314,40.67%,22.43,12,12.63%,0.86,11,5.85%,0.79
4.0,Lemmens Nathalie,MB,135880,2021,Belgium,Belgium,27.0,192,15,1.07,8,30.77%,0.57,6,12.24%,0.43,1,1.75%,0.07
5.0,Guilliams Jodie,OH,156326,2021,Belgium,Belgium,24.0,180,86,5.73,73,27.97%,4.87,7,10.00%,0.47,6,3.95%,0.40
6.0,Gilson Helena,OH,181274,2021,Belgium,Belgium,22.0,184,9,0.69,9,16.36%,0.69,0,0.00%,0.00,0,0.00%,0.00
7.0,Van Gestel Celine,OH,151117,2021,Belgium,Belgium,24.0,183,158,10.53,131,32.11%,8.73,9,9.47%,0.60,18,8.45%,1.20
9.0,Demeyer Nel,OH,181275,2021,Belgium,Belgium,21.0,175,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
10.0,Sobolska-Tarasova Dominika,MB,119429,2021,Belgium,Poland,30.0,187,36,2.40,19,28.79%,1.27,15,18.75%,1.00,2,4.08%,0.13
11.0,De Tant Amber,L,152039,2021,Belgium,Belgium,24.0,178,0,0.00,0,-,-,0,-,-,0,-,-
13.0,Janssens Marlies,MB,156325,2021,Belgium,Belgium,24.0,193,158,11.29,95,48.72%,6.79,40,30.53%,2.86,23,12.64%,1.64
14.0,De Valkeneer Lise,OH,119420,2021,Belgium,Belgium,32.0,177,8,1.14,6,26.09%,0.86,2,22.22%,0.29,0,0.00%,0.00
15.0,Van De Vyver Jutta,S,160208,2021,Belgium,Belgium,25.0,173,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
17.0,Van De Vyver Ilka,S,119537,2021,Belgium,Belgium,29.0,180,19,1.27,3,12.50%,0.20,4,4.65%,0.27,12,5.50%,0.80
18.0,Rampelberg Britt,L,168160,2021,Belgium,Belgium,21.0,165,0,0.00,0,-,-,0,-,-,0,-,-
19.0,Van Avermaet Silke,MB,152040,2021,Belgium,Belgium,22.0,192,116,7.73,86,44.33%,5.73,20,21.05%,1.33,10,6.94%,0.67
21.0,Stragier Manon,OH,152057,2021,Belgium,Belgium,23.0,182,3,0.20,1,8.33%,0.07,0,0.00%,0.00,2,4.55%,0.13
,Gert Vande Broek,COACH,N/A,2021,Belgium,,,,,,,,,,,,,,
2.0,De Oliveira Saad Gattaz Caroline,MB,113245,2021,Brazil,Brazil,40.0,192,105,7.00,78,55.32%,5.20,21,16.67%,1.40,6,4.55%,0.40
3.0,Rodrigues Lins Dos Santos Danielle,S,112625,2021,Brazil,Brazil,37.0,181,1,0.11,0,-,-,1,14.29%,0.11,0,0.00%,0.00
5.0,Da Silva Adenizia,MB,113955,2021,Brazil,Brazil,35.0,185,21,1.75,13,52.00%,1.08,6,21.43%,0.50,2,8.33%,0.17
6.0,Alexandre Costa Nunes Nyeme Victoria,L,152135,2021,Brazil,Brazil,23.0,175,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Montibeller Rosamaria,OH,136897,2021,Brazil,Brazil,27.0,185,50,3.57,46,50.00%,3.29,2,11.11%,0.14,2,8.70%,0.14
8.0,Silva Carneiro Macris Fernanda,S,151187,2021,Brazil,Brazil,33.0,178,19,1.12,5,25.00%,0.29,8,12.70%,0.47,6,3.28%,0.35
9.0,Ratzke Roberta Silva,S,119575,2021,Brazil,Brazil,31.0,185,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
10.0,Braga Guimaraes Gabriela,OH,136896,2021,Brazil,Brazil,27.0,180,215,12.65,185,42.53%,10.88,22,26.83%,1.29,8,3.27%,0.47
11.0,Caixeta Tandara,OH,115958,2021,Brazil,Brazil,33.0,184,264,15.53,234,45.17%,13.76,25,22.52%,1.47,5,2.49%,0.29
12.0,Pereira Natalia,OH,115952,2021,Brazil,Brazil,32.0,186,17,4.25,15,37.50%,3.75,2,18.18%,0.50,0,0.00%,0.00
13.0,Castro De Paula Blassioli Sheilla,O,112366,2021,Brazil,Brazil,38.0,185,13,1.08,11,44.00%,0.92,0,0.00%,0.00,2,16.67%,0.17
15.0,Da Silva Ana Carolina,MB,144866,2021,Brazil,Brazil,30.0,183,103,7.36,59,55.66%,4.21,35,29.17%,2.50,9,6.04%,0.64
16.0,Rodrigues Fernanda,OH,112641,2021,Brazil,Brazil,35.0,179,194,11.41,165,41.56%,9.71,23,20.54%,1.35,6,3.09%,0.35
17.0,Menezes Oliveira de Souza Ana Cristina,OH,173849,2021,Brazil,Brazil,17.0,192,9,0.82,7,41.18%,0.64,1,33.33%,0.09,1,7.69%,0.09
18.0,Brait Camila,L,119241,2021,Brazil,Brazil,33.0,170,0,0.00,0,-,-,0,-,-,0,-,-
20.0,Correa Ana Beatriz,MB,119566,2021,Brazil,Brazil,30.0,187,75,5.00,45,45.92%,3.00,25,24.51%,1.67,5,4.46%,0.33
24.0,Geraldo Teixeira Lorenne,O,141658,2021,Brazil,Brazil,26.0,187,14,1.40,13,41.94%,1.30,0,0.00%,0.00,1,4.00%,0.10
28.0,Araujo De Souza Mayany Cristina,MB,164673,2021,Brazil,Brazil,25.0,185,21,1.75,16,57.14%,1.33,3,17.65%,0.25,2,6.06%,0.17
,JOSE ROBERTO GUIMARAES,COACH,N/A,2021,Brazil,,,,,,,,,,,,,,
1.0,Bujan Cassandra,L,174677,2021,Canada,Canada,25.0,186,0,0.00,0,-,-,0,-,-,0,-,-
3.0,Van Ryk Kiera,OH,168355,2021,Canada,Canada,23.0,188,249,17.79,211,41.05%,15.07,20,23.26%,1.43,18,11.04%,1.29
5.0,Smith Danielle,S,139517,2021,Canada,Canada,31.0,178,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
6.0,White Jazmine Ruth,MB,153629,2021,Canada,Canada,28.0,186,1,0.10,1,14.29%,0.10,0,0.00%,0.00,0,0.00%,0.00
7.0,Van Buskirk Layne,MB,163360,2021,Canada,Canada,24.0,191,4,0.50,3,33.33%,0.38,1,10.00%,0.12,0,0.00%,0.00
8.0,Ogoms Alicia,MB,142777,2021,Canada,Canada,27.0,194,13,1.08,9,81.82%,0.75,4,30.77%,0.33,0,0.00%,0.00
9.0,Gray Alexa,OH,132236,2021,Canada,Canada,27.0,185,0,0.00,0,-,-,0,-,-,0,-,-
11.0,Mitrovic Andrea,OH,173581,2021,Canada,Canada,22.0,187,140,9.33,127,34.99%,8.47,5,8.06%,0.33,8,5.41%,0.53
12.0,Cross Jennifer,MB,139522,2021,Canada,Canada,29.0,194,92,6.13,56,41.48%,3.73,27,21.09%,1.80,9,4.48%,0.60
13.0,King Brie,S,173585,2021,Canada,Canada,24.0,183,35,2.50,13,30.23%,0.93,13,20.63%,0.93,9,6.21%,0.64
14.0,Howe Hilary,OH,174676,2021,Canada,Canada,23.0,185,140,9.33,117,34.72%,7.80,17,29.82%,1.13,6,4.00%,0.40
15.0,Joseph Shainah,O,166581,2021,Canada,Canada,26.0,183,44,2.93,38,33.04%,2.53,3,9.09%,0.20,3,6.25%,0.20
16.0,Livingston Caroline,OH,174680,2021,Canada,Canada,25.0,188,9,0.64,7,25.93%,0.50,0,0.00%,0.00,2,6.25%,0.14
